Pcode,Locality,State,Comments,DeliveryOffice,PreSortIndicator,ParcelZone,BSPnumber,BSPname,Category
822,BURRUNDIE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,BYNOE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,BYNOE HARBOUR,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,CAMP CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,CHANNEL ISLAND,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,CHARLES DARWIN,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,CHARLOTTE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,CLARAVALE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,COBOURG,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,COLLETT CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,COOMALIE CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,COX PENINSULA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,DALY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,DALY RIVER,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,DARWIN RIVER DAM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,DELISSAVILLE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,DOUGLAS-DALY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,EAST ARM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,EAST ARNHEM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,ELRUNDIE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,EVA VALLEY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,FINNISS VALLEY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,FLEMING,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,FLY CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,FREDS PASS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,GALIWINKU,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,GLYDE POINT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,GOULBURN ISLAND,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,GUNBALANYA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,GUNN POINT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,HAYES CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,HIDDEN VALLEY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,HOTHAM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
